best m,c is 1.640000,12.990000 with error 14.660792 in direction 0
best m,c is 1.640000,13.000000 with error 14.657037 in direction 0
best m,c is 1.640000,13.010000 with error 14.653288 in direction 0
best m,c is 1.640000,13.020000 with error 14.649545 in direction 0
best m,c is 1.640000,13.030000 with error 14.645808 in direction 0
best m,c is 1.640000,13.040000 with error 14.642077 in direction 0
best m,c is 1.640000,13.050000 with error 14.638352 in direction 0
best m,c is 1.640000,13.060000 with error 14.634632 in direction 0
best m,c is 1.640000,13.070000 with error 14.630919 in direction 0
best m,c is 1.640000,13.080000 with error 14.627211 in direction 0
best m,c is 1.640000,13.090000 with error 14.623509 in direction 0
best m,c is 1.640000,13.100000 with error 14.619813 in direction 0
best m,c is 1.640000,13.110000 with error 14.616123 in direction 0
best m,c is 1.640000,13.120000 with error 14.612439 in direction 0
best m,c is 1.640000,13.130000 with error 14.608761 in direction 0
best m,c is 1.640000,13.140000 with error 14.605089 in direction 0
best m,c is 1.640000,13.150000 with error 14.601423 in direction 0
best m,c is 1.640000,13.160000 with error 14.597762 in direction 0
best m,c is 1.640000,13.170000 with error 14.594108 in direction 0
best m,c is 1.640000,13.180000 with error 14.590459 in direction 0
best m,c is 1.640000,13.190000 with error 14.586817 in direction 0
best m,c is 1.640000,13.200000 with error 14.583180 in direction 0
best m,c is 1.640000,13.210000 with error 14.579549 in direction 0
best m,c is 1.640000,13.220000 with error 14.575925 in direction 0
best m,c is 1.640000,13.230000 with error 14.572306 in direction 0
best m,c is 1.640000,13.240000 with error 14.568693 in direction 0
best m,c is 1.640000,13.250000 with error 14.565086 in direction 0
best m,c is 1.640000,13.260000 with error 14.561486 in direction 0
best m,c is 1.630000,13.270000 with error 14.557639 in direction 7
best m,c is 1.630000,13.280000 with error 14.553707 in direction 0
best m,c is 1.630000,13.290000 with error 14.549781 in direction 0
best m,c is 1.630000,13.300000 with error 14.545860 in direction 0
best m,c is 1.630000,13.310000 with error 14.541945 in direction 0
best m,c is 1.630000,13.320000 with error 14.538037 in direction 0
best m,c is 1.630000,13.330000 with error 14.534133 in direction 0
best m,c is 1.630000,13.340000 with error 14.530236 in direction 0
best m,c is 1.630000,13.350000 with error 14.526345 in direction 0
best m,c is 1.630000,13.360000 with error 14.522459 in direction 0
best m,c is 1.630000,13.370000 with error 14.518580 in direction 0
best m,c is 1.630000,13.380000 with error 14.514706 in direction 0
best m,c is 1.630000,13.390000 with error 14.510838 in direction 0
best m,c is 1.630000,13.400000 with error 14.506976 in direction 0
best m,c is 1.630000,13.410000 with error 14.503120 in direction 0
best m,c is 1.630000,13.420000 with error 14.499269 in direction 0
best m,c is 1.630000,13.430000 with error 14.495425 in direction 0
best m,c is 1.630000,13.440000 with error 14.491586 in direction 0
best m,c is 1.630000,13.450000 with error 14.487753 in direction 0
best m,c is 1.630000,13.460000 with error 14.483927 in direction 0
best m,c is 1.630000,13.470000 with error 14.480106 in direction 0
best m,c is 1.630000,13.480000 with error 14.476291 in direction 0
best m,c is 1.630000,13.490000 with error 14.472481 in direction 0
best m,c is 1.630000,13.500000 with error 14.468678 in direction 0
best m,c is 1.630000,13.510000 with error 14.464881 in direction 0
best m,c is 1.630000,13.520000 with error 14.461089 in direction 0
best m,c is 1.630000,13.530000 with error 14.457304 in direction 0
best m,c is 1.630000,13.540000 with error 14.453524 in direction 0
best m,c is 1.630000,13.550000 with error 14.449751 in direction 0
best m,c is 1.630000,13.560000 with error 14.445983 in direction 0
best m,c is 1.630000,13.570000 with error 14.442221 in direction 0
best m,c is 1.630000,13.580000 with error 14.438466 in direction 0
best m,c is 1.630000,13.590000 with error 14.434716 in direction 0
best m,c is 1.630000,13.600000 with error 14.430972 in direction 0
best m,c is 1.630000,13.610000 with error 14.427234 in direction 0
best m,c is 1.630000,13.620000 with error 14.423502 in direction 0
best m,c is 1.630000,13.630000 with error 14.419776 in direction 0
best m,c is 1.630000,13.640000 with error 14.416056 in direction 0
best m,c is 1.630000,13.650000 with error 14.412342 in direction 0
best m,c is 1.630000,13.660000 with error 14.408634 in direction 0
best m,c is 1.630000,13.670000 with error 14.404932 in direction 0
best m,c is 1.630000,13.680000 with error 14.401236 in direction 0
best m,c is 1.630000,13.690000 with error 14.397546 in direction 0
best m,c is 1.630000,13.700000 with error 14.393862 in direction 0
best m,c is 1.630000,13.710000 with error 14.390184 in direction 0
best m,c is 1.630000,13.720000 with error 14.386511 in direction 0
best m,c is 1.630000,13.730000 with error 14.382845 in direction 0
best m,c is 1.630000,13.740000 with error 14.379185 in direction 0
